id,clothes_ids,rating
0,"3323, 18005, 10088, 46460, 40050",3
1,"10992, 28795, 43300, 25667",5
2,"22320, 16511, 16975, 18585",6
3,"11397, 27206, 47196, 36791",8
4,"7462, 7533, 11894, 44981",8
5,"9464, 16511, 5781, 25075",9
6,"6289, 31338, 24104, 18591",6
7,"3018, 7895, 34654, 58934",6
8,"2164, 31339, 35671, 58306, 2031",8
9,"2348, 13248, 9400, 25069",5
10,"53771, 12219, 4344, 17426, 23962",6
11,"7962, 15683, 39661, 48960, 24846",10
12,"5094, 17946, 57508, 49914",9
13,"27653, 13231, 22963, 29083",9
14,"2212, 14321, 9041, 27841",4
15,"33589, 44911, 5461, 48032, 1530",5
16,"14302, 14657, 54071, 32366",9
17,"7857, 26140, 13114, 35074, 19477",8
18,"29278, 13302, 40692, 14978",7
19,"16001, 41346, 24666, 40558, 15021",8
20,"32462, 3921, 17415, 17308",10
21,"58794, 42265, 3636, 36795",6
22,"5514, 20919, 47206, 10608",8
23,"3792, 16920, 36835, 40510",7
24,"5970, 24194, 57519, 41512",8
25,"7177, 30607, 36436, 23260",5
26,"32618, 9158, 29229, 23285, 39496",10
27,"4014, 39793, 7251, 14614, 19243",9
28,"3994, 37102, 15069, 43187, 19338",4
29,"3273, 13228, 12823, 44998, 15006",2
30,"13965, 34252, 10162, 18354",10
31,"7012, 18487, 12520, 14976, 17629",5
32,"26117, 34205, 6816, 58858",8
33,"28926, 48385, 41212, 36384",5
34,"38806, 44580, 13127, 19220, 19861",7
35,"2347, 22589, 36138, 46420, 22608",8
36,"37761, 10597, 9055, 44272",6
37,"7867, 9191, 19362, 11643, 9768",3
38,"37776, 4833, 4017, 28379",6
39,"3314, 28498, 56723, 49715",5
40,"17175, 21600, 2372, 25078",6
41,"19818, 24848, 21079, 12402",7
42,"4817, 44630, 6625, 25315, 17628",8
43,"11773, 51394, 16169, 16898",3
44,"8585, 24346, 35586, 23775, 15014",6
45,"26728, 42265, 7251, 58841, 14959",2
46,"19534, 49959, 3673, 17792, 16190",5
47,"9866, 48458, 6380, 3739, 18523",5
48,"16007, 1997, 29224, 45175, 15465",2
49,"9630, 26240, 7376, 21817",7
50,"20253, 51334, 6394, 36361",4
51,"6489, 13112, 44552, 45938, 22317",2
52,"7585, 38582, 7812, 18791, 23962",10
53,"53112, 33495, 4048, 49233, 16719",2
54,"17258, 9168, 8997, 52810",7
55,"37725, 38582, 4026, 31841, 15626",2
56,"33072, 36845, 38538, 46521",4
57,"11106, 1999, 45606, 21346",5
58,"33590, 56847, 7713, 49716, 15464",8
59,"32477, 7553, 20893, 49791, 39496",6
60,"2012, 9169, 30237, 8223",8
61,"3860, 7879, 11847, 58641, 15963",7
62,"13390, 39080, 17971, 48960",5
63,"19535, 42258, 45589, 48541, 15626",2
64,"6794, 11265, 9720, 29006, 7682",7
65,"29001, 16216, 32517, 18834, 9947",5
66,"56825, 16069, 40970, 28359",3
67,"3095, 6527, 23339, 49670",4
68,"26474, 7537, 23682, 8126",3
69,"26047, 24306, 8092, 58521, 6783",5
70,"1563, 31339, 24462, 42951, 22312",5
71,"10864, 14319, 11860, 58314",6
72,"33951, 16380, 4107, 38293",8
73,"13816, 8397, 56722, 49675, 1528",4
74,"8857, 51381, 39263, 17384, 59120",5
75,"44895, 9343, 11843, 29938",3
76,"8589, 11129, 9130, 29923",5
77,"33234, 15684, 3165, 48010, 14308",8
78,"8293, 16216, 3578, 19256, 19241",3
79,"18865, 14935, 35588, 12348, 25031",4
80,"26515, 13244, 5234, 46068",10
81,"14534, 48386, 2503, 38054",10
82,"21122, 9508, 23843, 28290, 59120",7
83,"11045, 40282, 44402, 33874",5
84,"7287, 34257, 7395, 40771",6
85,"12177, 16801, 39654, 45887, 23962",7
86,"43613, 7884, 12816, 36111",1
87,"22595, 44914, 28323, 28211, 17153",2
88,"53269, 9173, 26546, 58821",4
89,"2004, 7890, 39903, 7656",4
90,"26265, 16380, 25421, 15549, 59133",5
91,"11700, 29848, 5679, 11192, 4461",5
92,"30293, 26821, 46808, 28182, 3323",8
93,"19950, 1608, 39951, 58463, 15021",6
94,"18993, 11268, 3631, 27775",3
95,"5197, 11268, 1546, 11155",9
96,"10864, 12751, 39653, 17432, 59112",6
97,"20197, 8947, 39658, 28335",4
98,"3202, 13256, 17050, 46502",2
99,"32774, 4797, 8218, 41270",3
100,"30323, 38572, 29262, 29450, 9947",3
101,"19993, 30442, 55629, 20844",10
102,"11103, 7633, 36454, 37472",5
103,"14045, 11291, 15219, 40237",3
104,"32436, 51378, 16729, 12435, 25031",5
105,"3352, 16391, 36424, 23277, 19339",2
106,"17753, 28628, 4535, 29410, 30615",7
107,"29701, 10259, 4626, 23480, 22202",6
108,"59301, 9770, 12704, 11198",3
109,"4244, 8948, 26596, 32318, 20790",5
